식물ID,국명,학명,분류,서울적합도,내한성,내열성,일조요구,관수빈도,관리난이도,옥상적합,개화시기,단가_3치포트,단가_5치포트,사용빈도,고객선호도,실패율,추천조합
PLT-180,이팝나무,Chionanthus retusus,교목,5.0,상,상,전일조,1~2회,1,하,5월,,,37,4.7,2,"맥문동, 비비추"
PLT-181,왕벚나무,Prunus yedoensis,교목,5.0,상,상,전일조,2~3회,2,하,4월,,,29,4.9,4,"구절초, 잔디"
PLT-182,소나무,Pinus densiflora,교목,5.0,상,상,전일조,1~2회,1,하,없음,,,26,4.7,2,"비비추, 맥문동"
PLT-183,느티나무,Zelkova serrata,교목,5.0,상,상,전일조,1~2회,1,하,없음,,,29,4.5,2,"구절초, 잔디"
PLT-184,청단풍,Acer palmatum 'Atropurpureum',교목,5.0,상,중,반음지,2~3회,2,하,없음,,,37,4.7,6,"단풍나무, 철쭉"
PLT-185,팥배나무,Sorbus alnifolia,교목,5.0,상,상,전일조,1~2회,1,하,4~5월,,,34,4.4,2,"구절초, 잔디"
PLT-186,모과나무,Pseudocydonia sinensis,교목,5.0,상,상,전일조,1~2회,1,하,4~5월,,,27,4.5,3,"맥문동, 비비추"
PLT-187,감나무,Diospyros kaki,교목,4.8,상,상,전일조,1~2회,1,하,없음,,,31,4.5,2,"벌개미취, 수크령"
PLT-188,대추나무,Ziziphus jujuba,교목,4.8,상,상,전일조,1~2회,1,하,없음,,,32,4.2,2,"단풍나무, 철쭉"
PLT-189,살구나무,Prunus armeniaca,교목,5.0,상,상,전일조,1~2회,1,하,3~4월,,,38,4.5,2,"맥문동, 비비추"
PLT-190,매실나무,Prunus mume,교목,5.0,상,상,전일조,1~2회,1,하,2~3월,,,37,4.6,2,"단풍나무, 철쭉"
PLT-191,목련,Magnolia kobus,교목,4.8,상,중,전일조,2~3회,2,하,3~4월,,,32,4.7,5,"맥문동, 비비추"
PLT-192,은행나무,Ginkgo biloba,교목,5.0,상,상,전일조,1~2회,1,하,없음,,,37,4.3,2,"맥문동, 비비추"
PLT-193,메타세쿼이아,Metasequoia glyptostroboides,교목,4.8,상,중,전일조,2~3회,1,하,없음,,,36,4.5,2,"구절초, 잔디"
PLT-194,튤립나무,Liriodendron tulipifera,교목,4.5,상,중,전일조,2~3회,1,하,5~6월,,,27,4.4,6,"단풍나무, 철쭉"
PLT-195,계수나무,Cercidiphyllum japonicum,교목,4.8,상,중,전일조,2~3회,2,하,없음,,,27,4.5,6,"철쭉, 진달래"
PLT-196,오동나무,Paulownia tomentosa,교목,5.0,상,상,전일조,1~2회,1,하,5~6월,,,37,4.1,2,"철쭉, 진달래"
PLT-197,회화나무,Styphnolobium japonicum,교목,5.0,상,상,전일조,1~2회,1,하,7~8월,,,31,4.2,2,"철쭉, 진달래"
PLT-198,복자기,Acer triflorum,교목,5.0,상,상,전일조,1~2회,1,하,없음,,,27,4.3,2,"구절초, 잔디"
PLT-199,산딸나무,Cornus kousa,교목,5.0,상,상,반음지,2~3회,2,하,5~6월,,,32,4.6,2,"벌개미취, 수크령"
PLT-200,때죽나무,Styrax japonicus,교목,5.0,상,상,전일조,1~2회,1,하,5~6월,,,29,4.4,2,"비비추, 맥문동"
PLT-201,쪽동백나무,Styrax obassia,교목,5.0,상,중,반음지,2~3회,2,하,5~6월,,,31,4.3,3,"단풍나무, 철쭉"
